review_id,review_text,rating,product_name,product_category,predicted_label,confidence_score
10784229567,Gak sempat foto produknya. Udah abis kepake,5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,negative,0.9969
17730160458,"Kemasan:masih tersegel
Efek:pensil alis
Pengalaman Penggunaan:testur lembut",5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,neutral,0.9993
9931165117,Knp ini warna beda dari sebelumx,3,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,negative,0.9994
12607585554,pengiriman cepat dan warnya juga bagus cocok untuk di ombre,5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9996
15509502877,Orderan sedikit lambat diproses penjual,5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,negative,0.9962
29460608321,"Tdk sesuai pesanan , pesan yg kecil datang yg besar",3,[Omorfo] Accessories Kuas Eyebrow pipih | Kuas alis mata | bulu pipih hitam makeup ultra thin Brush makeup bulu sintetis,aksesoris,negative,0.9994
31857318966,"Pesan warna glassylip Burgundy, yg datang malah glassylip spring",4,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,negative,0.9989
62727671404,"Pengiriman instan gercep pwolll, pesan pagi2 siangnya sdh diantar 👍🏼👍🏼",5,[Omorfo] HADA LABO All Series | HADALABO Gokujyun | ShiroJyun | GokuJyun Alpha | Tamagohada | Face Wash | Lotion | Essence | Toner | Cleansing Oil | Face Mist | Moisturizer Shirojyun,skincare,neutral,0.9988
43563914509,serumnya salah padahal pesannya yang whitening gold bukan glowing white,3,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,negative,0.9992
77515686019,"Tekstur:cair
Warna:natural",5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,negative,0.9991
