text,label
Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,positive
"barang bagus dan respon cepat, harga bersaing dengan yg lain.",positive
"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",positive
bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,positive
"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",positive
"barang bagus, seller ramah..",positive
mantap paten joss,positive
"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",positive
barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,positive
Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,positive
"Pengiriman super cepat, barang bagus, recommended seller, thanks",positive
alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,positive
"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",positive
"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",positive
bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,positive
"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",positive
Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,positive
barang udah sampai ya gan dan berfungsi. terima kasih,positive
barang mantap sesuai deskripsi laptop jadi adem n sejuk,positive
"produk saya terima dengan kondisi baik, terima kasih ^^",positive
"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",positive
"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",positive
mantab barang nya oke punya,positive
"pengiriman cepat, packing rapi, kualitas mantap",positive
silent dan bagus untuk pekerjaan ringan,positive
Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,positive
"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",positive
"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",positive
mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,positive
"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",positive
Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,positive
"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",positive
Sangat presisi dan pas,positive
"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",positive
"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",positive
Mantap barangnya cepet sampai dan enak digunainnya!,positive
"Barang bagus,oke, cepat pengirimannya juga",positive
"Pengiriman cepat, seller responsif ??",positive
Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,positive
"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",positive
Sangat kecewa. Baru 4 bulan scroll sudah rusak.,negative
"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",negative
gak bisa di pakai??,negative
Kecewa parah nggk berkah jualan gitu,negative
kecewa penjual ga tanggung jawab komplen berhari� gada solusi,negative
